Array_Size,Sequential_Time_s,Threshold,Concurrent_Time_s,Speedup,Improvement_Percent
0,0.000000,10,0.000000,1.653846,39.534884
0,0.000000,100,0.000000,1.433333,30.232558
0,0.000000,1024,0.000000,2.529412,60.465116
0,0.000000,8192,0.000000,2.263158,55.813953
0,0.000000,16384,0.000000,2.263158,55.813953
0,0.000000,50000,0.000000,1.433333,30.232558
0,0.000000,100000,0.000000,2.529412,60.465116
0,0.000000,500000,0.000000,2.150000,53.488372
0,0.000000,5000000,0.000000,2.263158,55.813953
0,0.000000,10000000,0.000000,2.263158,55.813953
1,0.000000,10,0.000000,1.129032,11.428571
1,0.000000,100,0.000000,1.842105,45.714286
1,0.000000,1024,0.000000,1.842105,45.714286
1,0.000000,8192,0.000000,1.842105,45.714286
1,0.000000,16384,0.000000,1.944444,48.571429
1,0.000000,50000,0.000000,1.944444,48.571429
1,0.000000,100000,0.000000,1.944444,48.571429
1,0.000000,500000,0.000000,1.842105,45.714286
1,0.000000,5000000,0.000000,1.944444,48.571429
1,0.000000,10000000,0.000000,1.944444,48.571429
2,0.000000,10,0.000001,0.824197,-21.330275
2,0.000000,100,0.000000,2.369565,57.798165
2,0.000000,1024,0.000000,2.534884,60.550459
2,0.000000,8192,0.000000,2.777070,63.990826
2,0.000000,16384,0.000000,2.759494,63.761468
2,0.000000,50000,0.000000,2.725000,63.302752
2,0.000000,100000,0.000000,2.742138,63.532110
2,0.000000,500000,0.000000,2.831169,64.678899
2,0.000000,5000000,0.000000,2.708075,63.073394
2,0.000000,10000000,0.000000,3.027778,66.972477
1000,0.000083,10,0.006701,0.012383,-7975.770139
1000,0.000083,100,0.000587,0.141327,-607.580871
1000,0.000083,1024,0.000134,0.621076,-61.010943
1000,0.000083,8192,0.000127,0.653580,-53.003423
1000,0.000083,16384,0.000123,0.672568,-48.683893
1000,0.000083,50000,0.000122,0.680796,-46.886902
1000,0.000083,100000,0.000121,0.687429,-45.469556
1000,0.000083,500000,0.000123,0.671909,-48.829726
1000,0.000083,5000000,0.000119,0.696243,-43.627971
1000,0.000083,10000000,0.000118,0.705592,-41.724919
10000,0.000949,10,0.040592,0.023370,-4179.044595
10000,0.000949,100,0.004146,0.228785,-337.091619
10000,0.000949,1024,0.000559,1.695516,41.020889
10000,0.000949,8192,0.000802,1.182559,15.437623
10000,0.000949,16384,0.001483,0.639656,-56.333911
10000,0.000949,50000,0.001189,0.797666,-25.365793
10000,0.000949,100000,0.001178,0.805434,-24.156673
10000,0.000949,500000,0.001331,0.712529,-40.345068
10000,0.000949,5000000,0.002978,0.318566,-213.906880
10000,0.000949,10000000,0.004029,0.235420,-324.772091
65536,0.017000,10,0.477619,0.035594,-2709.447017
65536,0.017000,100,0.070896,0.239796,-317.020986
65536,0.017000,1024,0.002977,5.710838,82.489434
65536,0.017000,8192,0.003258,5.218013,80.835615
65536,0.017000,16384,0.006947,2.447214,59.137208
65536,0.017000,50000,0.016915,1.005039,0.501415
65536,0.017000,100000,0.017008,0.999553,-0.044752
65536,0.017000,500000,0.016676,1.019476,1.910346
65536,0.017000,5000000,0.011059,1.537223,34.947647
65536,0.017000,10000000,0.007970,2.132942,53.116395
1048576,0.098838,1024,0.060878,1.623535,38.406021
1048576,0.098838,8192,0.041085,2.405704,58.432125
1048576,0.098838,16384,0.025487,3.877963,74.213268
1048576,0.098838,50000,0.019181,5.153043,80.593991
1048576,0.098838,100000,0.020549,4.809834,79.209262
1048576,0.098838,500000,0.044516,2.220291,54.960862
1048576,0.098838,5000000,0.128203,0.770946,-29.710760
1048576,0.098838,10000000,0.120569,0.819765,-21.986137
100000,0.007653,10,0.873027,0.008767,-11306.935701
100000,0.007653,100,0.094805,0.080729,-1138.712765
100000,0.007653,1024,0.019990,0.382869,-161.185922
100000,0.007653,8192,0.010434,0.733498,-36.332943
100000,0.007653,16384,0.009216,0.830465,-20.414484
100000,0.007653,50000,0.007665,0.998466,-0.153669
100000,0.007653,100000,0.016858,0.453989,-120.269621
100000,0.007653,500000,0.013671,0.559814,-78.630616
100000,0.007653,5000000,0.011677,0.655410,-52.576314
100000,0.007653,10000000,0.011371,0.673096,-48.567297
500000,0.044088,100,0.388578,0.113459,-781.377699
500000,0.044088,1024,0.034649,1.272406,21.408725
500000,0.044088,8192,0.012159,3.625982,72.421267
500000,0.044088,16384,0.015207,2.899156,65.507201
500000,0.044088,50000,0.014624,3.014690,66.829095
500000,0.044088,100000,0.020937,2.105735,52.510633
500000,0.044088,500000,0.068651,0.642196,-55.715816
500000,0.044088,5000000,0.061072,0.721898,-38.523670
500000,0.044088,10000000,0.068374,0.644798,-55.087235
1000000,0.105171,100,0.784389,0.134080,-645.821137
1000000,0.105171,1024,0.071056,1.480126,32.438173
1000000,0.105171,8192,0.026502,3.968464,74.801332
1000000,0.105171,16384,0.020328,5.173836,80.671979
1000000,0.105171,50000,0.022487,4.676971,78.618639
1000000,0.105171,100000,0.025344,4.149759,75.902218
1000000,0.105171,500000,0.081000,1.298405,22.982455
1000000,0.105171,5000000,0.132248,0.795257,-25.745460
1000000,0.105171,10000000,0.130775,0.804215,-24.344925
10000000,0.950563,1024,1.247303,0.762095,-31.217252
10000000,0.950563,8192,0.218469,4.351014,77.016853
10000000,0.950563,16384,0.180461,5.267427,81.015399
10000000,0.950563,50000,0.147866,6.428531,84.444348
10000000,0.950563,100000,0.141594,6.713283,85.104159
10000000,0.950563,500000,0.140737,6.754184,85.194363
10000000,0.950563,5000000,0.612149,1.552830,35.601442
10000000,0.950563,10000000,1.215409,0.782093,-27.862000
50000000,4.782103,8192,1.071596,4.462600,77.591539
50000000,4.782103,16384,0.897431,5.328656,81.233541
50000000,4.782103,50000,0.747229,6.399781,84.374465
50000000,4.782103,100000,0.742410,6.441321,84.475234
50000000,4.782103,500000,0.714785,6.690268,85.052916
50000000,4.782103,5000000,0.817972,5.846294,82.895146
50000000,4.782103,10000000,1.098288,4.354145,77.033377
